year,currency,gdp,inflation,unemployment,interest_rate
2000,CHF,3.95871990780931,1.5585291967901,2.658,2.9409066390898198
2001,CHF,1.57566198688916,0.989020329832546,2.49,2.813803106073746
2002,CHF,-0.0732172569941127,0.642711506543278,2.924,1.0497031893978603
2003,CHF,-0.0323984255438887,0.638272930887201,4.117,0.21531927233593692
2004,CHF,2.70170912949028,0.802908730955227,4.316,0.3774774496568332
2005,CHF,2.74969910618739,1.17195420333703,4.437,0.7123538270021644
2006,CHF,4.0736284178369,1.05950928324802,3.995,1.411712857023838
2007,CHF,3.91637577227581,0.732350603122248,3.641,2.3428376400955737
2008,CHF,2.8079835919566,2.42604117060158,3.35,1.841202637312313
2009,CHF,-2.29737452570922,-0.480481936423275,4.109,0.09364393690442524
2010,CHF,3.24339715656356,0.688238707220026,4.808,0.15008282700817696
2011,CHF,1.81310830459596,0.2313492076509,4.409,0.05750421232192245
2012,CHF,1.17925385250513,-0.692552018105253,4.491,-0.06172109632578184
2013,CHF,1.79214400716117,-0.217323155115693,4.747,-0.04717099357254853
2014,CHF,2.34988141500179,-0.0132025387514939,4.826,0.0011205268849206335
2015,CHF,1.64462750849488,-1.14390867228183,4.801,-0.7247247534722222
2016,CHF,2.06868969039562,-0.434618664285835,4.918,-0.7682976166666666
2017,CHF,1.36279965488859,0.533787839825897,4.797,-0.8478184828703704
2018,CHF,2.86044579439036,0.936335464113563,4.713,-0.8062764690416065
2019,CHF,1.14198218965691,0.362886179940614,4.394,-0.7733053965247715
2020,CHF,-2.14173712008038,-0.725874933313384,4.817,-0.6975906687632015
2021,CHF,5.55962020605844,0.581814168489856,5.013,-0.7355149849132879
2022,CHF,3.04406102969423,2.83502798644463,4.122,-0.17743126130873954
2023,CHF,0.683328174376044,2.13540088016377,4.043,1.5210644020954893
2024,CHF,1.30233332541106,1.06234041976595,4.343,1.241340191511388
2000,EUR,2.8765231247659,1.44026838719741,7.917,3.0184426229508197
2001,EUR,1.63614170690956,1.98385731334471,7.773,3.2883561643835617
2002,EUR,-0.228255715793637,1.42080615551526,8.482,2.2143835616438357
2003,EUR,-0.529801394291297,1.03422218628562,9.779,1.2582191780821919
2004,EUR,1.16208684507278,1.66573696655992,10.727,1.0
2005,EUR,0.885485292551564,1.54691114751328,11.193,1.0178082191780822
2006,EUR,3.86668241523209,1.57742642840563,10.277,1.7602739726027397
2007,EUR,2.8891174138025,2.29834400700951,8.732,2.839041095890411
2008,EUR,0.887902330743628,2.62837981637219,7.508,3.0054644808743167
2009,EUR,-5.54455451920674,0.312739007368447,7.88,0.4657534246575342
2010,EUR,4.13463778522758,1.1038103778926,7.043,0.25
2011,EUR,3.75796884489337,2.07517283735874,5.967,0.49931506849315066
2012,EUR,0.463512036709204,2.00848884782956,5.372,0.13114754098360656
2013,EUR,0.396995583779145,1.50472330251876,5.316,0.0
2014,EUR,2.18018602168017,0.906794000434246,4.979,-0.08684931506849315
2015,EUR,1.66300602334775,0.514426137125456,4.612,-0.2063013698630137
2016,EUR,2.22222216259371,0.491747008445174,4.104,-0.3795081967213115
2017,EUR,2.797906720551,1.50949485109628,3.781,-0.4
2018,EUR,1.13569604599849,1.73216879766942,3.384,-0.4
2019,EUR,0.977734697038784,1.44565976888253,3.163,-0.42876712328767125
2020,EUR,-4.13191443239947,0.144877925813982,3.881,-0.5
2021,EUR,3.90999994204108,3.06666666666673,3.594,-0.5
2022,EUR,1.8092581243061,6.87257438551097,3.137,0.07876712328767123
2023,EUR,-0.869647578573321,5.94643667725823,3.071,3.3075342465753423
2024,EUR,-0.495851897260366,2.2564981433876,3.4,3.73224043715847
2000,JPY,2.76464755136783,-0.676578683595175,4.748,0.10838083333333333
2001,JPY,0.386103426142029,-0.740055504162738,5.02,0.0579625
2002,JPY,0.0419624992862282,-0.923494026942321,5.386,0.0019275000000000002
2003,JPY,1.53512549946694,-0.256541816316025,5.251,0.0013333333333333333
